sortie,leaf_id,n,mean,std,min,max,rules
N_lixi,5,139,1.571208633093525,0.1852792046967105,1.206,2.132,Date_Semis <= 73.23 ET Date_Recolte <= 369.7 ET Delta_PREPA_Semis <= -29.39 ET Date_Semis <= 56.32 ET Date_Semis <= 50.06
N_lixi,6,141,1.855390070921986,0.25472662581816846,1.44,2.492,Date_Semis <= 73.23 ET Date_Recolte <= 369.7 ET Delta_PREPA_Semis <= -29.39 ET Date_Semis <= 56.32 ET Date_Semis > 50.06
N_lixi,19,62,2.0354193548387096,0.3923399976010727,1.384,3.2239999999999993,Date_Semis <= 73.23 ET Date_Recolte > 369.7 ET Delta_PREPA_Semis <= -27.78 ET Date_Semis <= 52.77
N_lixi,12,387,2.161875968992248,0.11670238093694299,1.544,2.44,Date_Semis <= 73.23 ET Date_Recolte <= 369.7 ET Delta_PREPA_Semis > -29.39 ET Date_Semis <= 57.44 ET Date_Recolte <= 337.4
N_lixi,8,136,2.198014705882353,0.23045520124773725,1.7280000000000002,2.636,Date_Semis <= 73.23 ET Date_Recolte <= 369.7 ET Delta_PREPA_Semis <= -29.39 ET Date_Semis > 56.32 ET Date_Semis <= 63.04
N_lixi,9,220,2.4122454545454546,0.07465716912406282,2.036,2.586,Date_Semis <= 73.23 ET Date_Recolte <= 369.7 ET Delta_PREPA_Semis <= -29.39 ET Date_Semis > 56.32 ET Date_Semis > 63.04
N_lixi,13,870,2.4310919540229885,0.12426508768773922,1.72,2.778,Date_Semis <= 73.23 ET Date_Recolte <= 369.7 ET Delta_PREPA_Semis > -29.39 ET Date_Semis <= 57.44 ET Date_Recolte > 337.4
N_lixi,15,655,2.467490076335878,0.16160317656243836,2.148,2.944,Date_Semis <= 73.23 ET Date_Recolte <= 369.7 ET Delta_PREPA_Semis > -29.39 ET Date_Semis > 57.44 ET has_prepa != 0.0
N_lixi,35,483,2.513805383022774,0.11527583468467824,2.2939999999999996,3.014,Date_Semis > 73.23 ET Delta_PREPA_Semis <= -24.24 ET Date_Semis <= 90.07 ET Date_Recolte <= 372.3 ET Date_Recolte > 331.3
N_lixi,21,81,2.537925925925926,0.3190497523027473,1.766,2.996,Date_Semis <= 73.23 ET Date_Recolte > 369.7 ET Delta_PREPA_Semis <= -27.78 ET Date_Semis > 52.77 ET Delta_PREPA_Semis <= -35.51
N_lixi,26,126,2.68284126984127,0.14101809317663666,2.376,2.9840000000000004,Date_Semis <= 73.23 ET Date_Recolte > 369.7 ET Delta_PREPA_Semis > -27.78 ET Date_Recolte <= 375.6 ET has_prepa == 1.0
N_lixi,44,258,2.698139534883721,0.14624901445335145,2.394,3.1079999999999997,Date_Semis > 73.23 ET Delta_PREPA_Semis <= -24.24 ET Date_Semis > 90.07 ET Date_Recolte > 331.5 ET Delta_PREPA_Semis <= -34.91
N_lixi,37,96,2.6982291666666662,0.09117703764096775,2.5460000000000003,2.968,Date_Semis > 73.23 ET Delta_PREPA_Semis <= -24.24 ET Date_Semis <= 90.07 ET Date_Recolte > 372.3 ET Date_Recolte <= 379.4
N_lixi,16,998,2.726134268537074,0.11160232634561561,2.424,3.104,Date_Semis <= 73.23 ET Date_Recolte <= 369.7 ET Delta_PREPA_Semis > -29.39 ET Date_Semis > 57.44 ET has_prepa == 0.0
N_lixi,22,81,2.732543209876543,0.1950464078996787,2.22,3.1759999999999997,Date_Semis <= 73.23 ET Date_Recolte > 369.7 ET Delta_PREPA_Semis <= -27.78 ET Date_Semis > 52.77 ET Delta_PREPA_Semis > -35.51
N_lixi,34,100,2.7708999999999997,0.19919786113005294,2.436,3.3240000000000003,Date_Semis > 73.23 ET Delta_PREPA_Semis <= -24.24 ET Date_Semis <= 90.07 ET Date_Recolte <= 372.3 ET Date_Recolte <= 331.3
N_lixi,38,52,2.7859615384615384,0.08370207707930943,2.662,3.0599999999999996,Date_Semis > 73.23 ET Delta_PREPA_Semis <= -24.24 ET Date_Semis <= 90.07 ET Date_Recolte > 372.3 ET Date_Recolte > 379.4
N_lixi,25,218,2.8511926605504585,0.15171805509172304,2.372,3.132,Date_Semis <= 73.23 ET Date_Recolte > 369.7 ET Delta_PREPA_Semis > -27.78 ET Date_Recolte <= 375.6 ET has_prepa != 1.0
N_lixi,45,278,2.8724892086330938,0.12397993123417175,2.534,3.3879999999999995,Date_Semis > 73.23 ET Delta_PREPA_Semis <= -24.24 ET Date_Semis > 90.07 ET Date_Recolte > 331.5 ET Delta_PREPA_Semis > -34.91
N_lixi,49,63,2.902761904761905,0.15950626585788488,2.516,3.2060000000000004,Date_Semis > 73.23 ET Delta_PREPA_Semis > -24.24 ET Date_Recolte <= 332.3 ET Date_Semis <= 81.09 ET Date_Semis <= 76.65
N_lixi,56,623,2.909576243980738,0.1621748497100403,2.364,3.418,Date_Semis > 73.23 ET Delta_PREPA_Semis > -24.24 ET Date_Recolte > 332.3 ET has_prepa != 0.0 ET Date_Semis <= 90.65
N_lixi,29,197,2.995421319796954,0.1723955174623354,2.6239999999999997,3.442,Date_Semis <= 73.23 ET Date_Recolte > 369.7 ET Delta_PREPA_Semis > -27.78 ET Date_Recolte > 375.6 ET has_prepa == 1.0
N_lixi,59,350,3.03588,0.12273295445349028,2.818,3.378,Date_Semis > 73.23 ET Delta_PREPA_Semis > -24.24 ET Date_Recolte > 332.3 ET has_prepa == 0.0 ET Date_Semis <= 78.45
N_lixi,57,548,3.1300401459854013,0.1354291919308216,2.738,3.5,Date_Semis > 73.23 ET Delta_PREPA_Semis > -24.24 ET Date_Recolte > 332.3 ET has_prepa != 0.0 ET Date_Semis > 90.65
N_lixi,41,55,3.1390181818181815,0.16241139931132478,2.74,3.468,Date_Semis > 73.23 ET Delta_PREPA_Semis <= -24.24 ET Date_Semis > 90.07 ET Date_Recolte <= 331.5 ET Delta_PREPA_Semis <= -33.73
N_lixi,28,321,3.1553520249221187,0.0841252269904775,2.994,3.3979999999999997,Date_Semis <= 73.23 ET Date_Recolte > 369.7 ET Delta_PREPA_Semis > -27.78 ET Date_Recolte > 375.6 ET has_prepa != 1.0
N_lixi,50,74,3.1987567567567567,0.16393740960741487,2.858,3.536,Date_Semis > 73.23 ET Delta_PREPA_Semis > -24.24 ET Date_Recolte <= 332.3 ET Date_Semis <= 81.09 ET Date_Semis > 76.65
N_lixi,60,1870,3.254547593582888,0.10803768258484853,3.05,3.644,Date_Semis > 73.23 ET Delta_PREPA_Semis > -24.24 ET Date_Recolte > 332.3 ET has_prepa == 0.0 ET Date_Semis > 78.45
N_lixi,42,50,3.33536,0.10364101307801254,3.1119999999999997,3.518,Date_Semis > 73.23 ET Delta_PREPA_Semis <= -24.24 ET Date_Semis > 90.07 ET Date_Recolte <= 331.5 ET Delta_PREPA_Semis > -33.73
N_lixi,52,150,3.4450533333333335,0.1624261850590636,3.01,3.752,Date_Semis > 73.23 ET Delta_PREPA_Semis > -24.24 ET Date_Recolte <= 332.3 ET Date_Semis > 81.09 ET Date_Semis <= 89.29
N_lixi,53,318,3.6757610062893082,0.146172080393902,3.164,4.01,Date_Semis > 73.23 ET Delta_PREPA_Semis > -24.24 ET Date_Recolte <= 332.3 ET Date_Semis > 81.09 ET Date_Semis > 89.29
